,순위,곡,아티스트
0,1,After LIKE,IVE (아이브)
1,2,Hype Boy,NewJeans
2,3,Attention,NewJeans
3,4,새삥 (Prod. ZICO) (Feat. 호미들),지코
4,5,Pink Venom,BLACKPINK
5,6,LAW (Prod. Czaer),"
윤미래
"
6,7,FOREVER 1,소녀시대 (GIRLS' GENERATION)
7,8,LOVE DIVE,IVE (아이브)
8,9,그때 그 순간 그대로 (그그그),WSG워너비 (가야G)
9,10,Same Scent,원어스 (ONEUS)
10,11,Cookie,NewJeans
11,12,Girls,aespa
12,13,Talk that Talk,TWICE (트와이스)
13,14,ELEVEN,IVE (아이브)
14,15,도깨비불 (Illusion),aespa
15,16,Somebody!,"
로꼬
"
16,17,그라데이션,10CM
17,18,FEARLESS,LE SSERAFIM (르세라핌)
18,19,TOMBOY,(여자)아이들
19,20,보고싶었어,WSG워너비 (4FIRE)
20,21,술이 뭐길래,"
지아(Zia)
"
21,22,I Ain't Worried,OneRepublic(원리퍼블릭)
22,23,SNEAKERS,ITZY (있지)
23,24,STUPID LOVE,원어스 (ONEUS)
24,25,That's Hilarious,Charlie Puth(찰리 푸스)
25,26,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현)
26,27,My Dream,멜로망스(MeloMance)
27,28,LOVE me,BE'O (비오)
28,29,혼란하다 혼란해 (Dizzy),원어스 (ONEUS)
29,30,Dangerously,Charlie Puth(찰리 푸스)
30,31,I LOVE U,WINNER
31,32,"100℃ (Prod. 기리보이, YEOHO) (Feat. YUNHWAY)",기리보이
32,33,천만분의 1의 확률의 너 (Gravitation),원어스 (ONEUS)
33,34,That That (prod. & feat. SUGA of BTS),싸이 (PSY)
34,35,Hurt,NewJeans
35,36,물과 기름 (Polarity),원어스 (ONEUS)
36,37,strawberry moon,아이유(IU)
37,38,STAY,"
The Kid LAROI
"
38,39,사랑인가 봐,멜로망스(MeloMance)
39,40,BEAUTIFUL MONSTER,STAYC(스테이씨)
40,41,POP!,나연 (TWICE)
41,42,월광 (FULL MOON),원어스 (ONEUS)
42,43,나의 X에게,경서
43,44,Mermaid,원어스 (ONEUS)
44,45,스티커 사진,21학번
45,46,SURRENDER,이창섭
46,47,열이올라요 (Heart Burn),선미
47,48,일과 이분의 일,츄 (이달의 소녀)
48,49,봄여름가을겨울 (Still Life),BIGBANG (빅뱅)
49,50,내가 아니라도,주호
50,51,Next Level,aespa
51,52,Feel My Rhythm,Red Velvet (레드벨벳)
52,53,Out of Time,The Weeknd(위켄드)
53,54,통화연결음,"
보라미유
"
54,55,다정히 내 이름을 부르면,"
경서예지
"
55,56,사랑이야,케이시
56,57,SMILEY (Feat. BIBI),YENA (최예나)
57,58,내 기쁨은 너가 벤틀리를 끄는 거야,김승민
58,59,늦은 밤 헤어지긴 너무 아쉬워,케이시
59,60,Love story,볼빨간사춘기
60,61,Sweaty (Prod. GRAY),"
GRAY (그레이)
"
61,62,Left and Right (Feat. Jung Kook of BTS),"
Charlie Puth(찰리 푸스)
"
62,63,너의 모든 순간,성시경
63,64,Light Switch,Charlie Puth(찰리 푸스)
64,65,상상 (Beyond My Dreams),선우정아(Sunwoojunga)
65,66,취중고백,김민석 (멜로망스)
66,67,사랑한다고 말해줘,탑현
67,68,팡파레,다비치
68,69,드라마,아이유(IU)
69,70,괴짜 (Freak),지코
70,71,INVU,태연 (TAEYEON)
71,72,이러면 안 될 거 아는데 너 앞에만 서면 나락 (Feat. 10CM),딘딘 (DINDIN)
72,73,신호등,이무진
73,74,MY BAG,(여자)아이들
74,75,보름달 (feat. Lena),선미
75,76,Sparkling,청하
76,77,사랑은 늘 도망가,임영웅
77,78,잠수이별 (Prod. 코드 쿤스트),"
우원재
"
78,79,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴(Paul Kim)
79,80,옆집누나,장윤정
80,81,I Believe (엽기적인 그녀 O.S.T),신승훈
81,82,맞아 잠을 설친 건 너 때문이야,펀치 (Punch)
82,83,"Whistle (Prod. GroovyRoom) (Feat. 식케이, 미란이)",그루비룸 (GroovyRoom)
83,84,Off My Face,Justin Bieber(저스틴 비버)
84,85,사랑의 시작은 고백에서부터 (Romance) (웹툰 '연애의 발견' X 전상근),전상근
85,86,My Satisfaction,IVE (아이브)
86,87,Celebrity,아이유(IU)
87,88,해요 (2022),#안녕
88,89,밤하늘의 별을(2020),경서
89,90,Weekend,태연 (TAEYEON)
90,91,바보에게 바보가 (웹툰 '연애의 발견' X 이석훈),이석훈
91,92,ROYAL,IVE (아이브)
92,93,나와,류수정
93,94,위로,임재범
94,95,새벽에 걸려온 너의 전화는,한동근
95,96,듣고 싶을까,MSG워너비(M.O.M)
96,97,우리가 헤어져야 했던 이유,비비(BIBI)
97,98,Step Back,GOT the beat
98,99,가솔린 (Gasoline),키 (KEY)
99,100,Stay This Way,프로미스나인
